Record ID,Data Status,Data Quality,Last Updated,Source ID,Source URL,Notes,Venue Name,Previous / Alternative Venue Name,Venue Type,Primary Use,Country,City,State / Prefecture,Metro Area,Latitude,Longitude,Ownership Type,Opened Year,Renovated Year,New / Renewed Venue Flag,Capacity,Total Site Area sqm,Nearest Major Station / Airport,Distance to CBD km,Sponsor Name,Sponsor Industry,Sponsor HQ Country,Contract Status,Contract Announcement Date,Contract Start Year,Contract End Year,Contract Length years,Currency,Total Contract Value Original,Annual Fee Original,Annualized Fee Original Calc,FX to Base Currency,Annualized Fee Base Currency,Inflation / CPI Normalization Factor,Real Annualized Fee Base Year,Rights Scope Summary,Included Assets / Benefits,Exclusivity Y/N,Renewal Y/N,Termination / Opt-out Y/N,Primary Tenant / Team,League / Competition,League Tier / Level,Multi-tenant Y/N,Number of Anchor Tenants,Average Home Attendance,Annual Venue Attendance,Annual Event Days,Sports Event Days,Concert / Entertainment Days,Other Event Days,Utilization Rate,Attendance per Seat,Broadcast / Streaming Viewers Annual,National Broadcast Games / Events,International Exposure Y/N,Media Mentions Annual,Estimated Media Impressions,Social Followers Tenant / Venue,Annual Social Posts Mentioning Venue,Social Impressions Annual,Avg Engagement Rate,Google Trends Index Venue,Search Volume Venue,Mobile Foot Traffic Annual,City Population,Metro Population,Regional GDP / GRP,Median Household Income,Annual Tourists / Visitors City,Number of Large Corporate HQs,Sponsor-Venue Fit Notes,Comparable Venue Group,Special Factors,Missing Data Flag,Researcher Comments,Region,Subregion,Local Country / Territory Name,Local Venue Name,English Venue Name,Original Language Source Title,Original Language,Row Source Type,Data Type / Value Basis,Value Disclosure Status,Rights Type,Naming Scope,Tax Treatment,Public / Private Facility,Facility Governance / Scheme,Bundled Assets Flag,Local Currency Notes,Regional Data Notes,Group 1-3 Completeness %,Group 1-3 Cells Filled (of 31),Group 1-2 Completeness % (excl. Tax)
SBJ-FULL-020,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=15 (2029); raw annual=$833K; raw total=$12.5M.,Albertsons Stadium,,Stadium,Collegiate,United States,Boise,Idaho,,,,Public,1970.0,,,36363.0,,,,Albertsons,Food & Dining,,Listed in SBJ directory,,2015.0,2029.0,15.0,USD,12500000.0,833000.0,833000.0,1.0,833000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Boise State Broncos, Famous Idaho Potato Bowl",NCAA Division I FBS - Mountain West (football),Collegiate,Y,2.0,37114.0,,,7.0,,,,,,,,,,167000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='15 (2029)', Annual='$833K', Total='$12.5M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-021,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=11 (2032); raw annual=$181.8K; raw total=$2M.,Alerus Center,,Arena / Indoor Venue,Minor League,United States,Grand Forks,North Dakota,,,,Public,2001.0,,,12283.0,,,,Alerus Financial,Financial Services,,Listed in SBJ directory,,2022.0,2032.0,11.0,USD,2000000.0,181800.0,181800.0,1.0,181800.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,North Dakota Fighting Hawks,NCAA Division I - Missouri Valley Football Conference,Minor League,N,1.0,11603.0,,,7.0,,,,,,,,,,38100.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='11 (2032)', Annual='$181.8K', Total='$2M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-024,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=30 (2050); raw annual=$22.5M; raw total=$675M.,Allegiant Stadium,,Stadium,Major League,United States,Paradise,Nevada,,,,Public,2020.0,,,65000.0,,,,Allegiant Air,Airlines,,Listed in SBJ directory,,2021.0,2050.0,30.0,USD,675000000.0,22500000.0,22500000.0,1.0,22500000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Las Vegas Raiders, UNLV Rebels, Las Vegas Bowl",NFL,Major League,Y,3.0,54843.0,,,16.0,,,,,,,,,,2045784.0,,,,,,,,,,,,,,Major League,,N,"Source page 1. Raw fields: Years='30 (2050)', Annual='$22.5M', Total='$675M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-025,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2030); raw annual=$500K; raw total=$5M.,Alliant Energy Center,,Arena / Indoor Venue,Minor League,United States,Madison,Wisconsin,,,,Public,1967.0,,,10231.0,,,,Alliant Energy,Energy/Utilities,,Listed in SBJ directory,,2021.0,2030.0,10.0,USD,5000000.0,500000.0,500000.0,1.0,500000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Madison Capitols, UW Badgers",USHL,Minor League,Y,2.0,1978.0,,,,,,,,,,,,,11000.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='10 (2030)', Annual='$500K', Total='$5M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-026,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,"Annual x years differs from total (computed $4,320,000 vs source $3,600,000)",Alliant Energy Power House,,Arena / Indoor Venue,Minor League,United States,Cedar Rapids,Iowa,,,,Public,1979.0,,,6900.0,,,,Alliant Energy,Energy/Utilities,,Listed in SBJ directory,,2021.0,2032.0,12.0,USD,3600000.0,360000.0,360000.0,1.0,360000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Cedar Rapids Titans/River Kings, Iowa Raptors",USHL,Minor League,Y,2.0,,,,,,,,,,,,,,9755.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='12 (2032)', Annual='$360K', Total='$3.6M'. Data notes: Annual x years differs from total (computed $4,320,000 vs source $3,600,000)",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-028,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2024); raw annual=$1.5M; raw total=$15M.,Allstate Arena,,Arena / Indoor Venue,Minor League,United States,Rosemont,Illinois,,,,Public,1980.0,,,16692.0,,,,Allstate,Insurance,,Listed in SBJ directory,,2015.0,2024.0,10.0,USD,15000000.0,1500000.0,1500000.0,1.0,1500000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Chicago Wolves,AHL,Minor League,N,1.0,8984.0,,,36.0,,,,,,,,,,50000.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='10 (2024)', Annual='$1.5M', Total='$15M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-030,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=11 (2033); raw annual=$227.27K; raw total=$2.5M.,Alumni Coliseum at Baptist Health Arena,,Arena / Indoor Venue,Collegiate,United States,Richmond,Kentucky,,,,Public,1963.0,,,6500.0,,,,Baptist Health (Kentucky and Southern Indiana),Health Care,,Listed in SBJ directory,,2023.0,2033.0,11.0,USD,2500000.0,227270.0,227270.0,1.0,227270.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Eastern Kentucky Colonels,NCAA Division I - ASUN Conference,Collegiate,N,1.0,,,,16.0,,,,,,,,,,11000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='11 (2033)', Annual='$227.27K', Total='$2.5M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-033,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,"Source reports Annual=N/A, Total=N/A",America First Event Center,,Arena / Indoor Venue,Collegiate,United States,Cedar City,Utah,,,,Public,1985.0,,,5300.0,,,,America First Credit Union,Financial Services,,Listed in SBJ directory,,2018.0,2027.0,10.0,USD,1500000.0,150000.0,,1.0,,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Southern Utah Thunderbirds,NCAA Division I - Western Athletic Conference,Collegiate,N,1.0,,,,16.0,,,,,,,,,,6839.0,,,,,,,,,,,,,,Collegiate,,Y,"Source page 1. Raw fields: Years='N/A (N/A)', Annual='N/A', Total='N/A'. Data notes: Source reports Annual=N/A, Total=N/A",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-034,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=15 (2037); raw annual=$6.67M; raw total=$100M.,America First Field,,Ballpark / Field,Major League,United States,Sandy,Utah,,,,Public,2008.0,,,20213.0,,,,America First Credit Union,Financial Services,,Listed in SBJ directory,,2023.0,2037.0,15.0,USD,100000000.0,6670000.0,6670000.0,1.0,6670000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Real Salt Lake,MLS,Major League,N,1.0,18930.0,,,17.0,,,,,,,,,,157400.0,,,,,,,,,,,,,,Major League,,N,"Source page 1. Raw fields: Years='15 (2037)', Annual='$6.67M', Total='$100M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-035,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=30 (2030); raw annual=$6.5M; raw total=$195M.,American Airlines Center,,Arena / Indoor Venue,Major League,United States,Dallas,Texas,,,,Public,2001.0,,,19200.0,,,,American Airlines,Airlines,,Listed in SBJ directory,,2001.0,2030.0,30.0,USD,195000000.0,6500000.0,6500000.0,1.0,6500000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Dallas Mavericks, Dallas Stars",NBA,Major League,Y,2.0,20079.0,,,82.0,,,,,,,,,,5000000.0,,,,,,,,,,,,,,Major League,,N,"Source page 1. Raw fields: Years='30 (2030)', Annual='$6.5M', Total='$195M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-037,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=15 (2035); raw annual=$4M; raw total=$60M.,American Family Field,,Ballpark / Field,Major League,United States,Milwaukee,Wisconsin,,,,Public,2001.0,,,41900.0,,,,American Family Insurance,Insurance,,Listed in SBJ directory,,2021.0,2035.0,15.0,USD,60000000.0,4000000.0,4000000.0,1.0,4000000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Milwaukee Brewers,MLB,Major League,N,1.0,32717.0,,,81.0,,,,,,,,,,768000.0,,,,,,,,,,,,,,Major League,,N,"Source page 1. Raw fields: Years='15 (2035)', Annual='$4M', Total='$60M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-040,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2032); raw annual=$900K; raw total=$9M.,Amica Mutual Pavilion,,Arena / Indoor Venue,Minor League,United States,Providence,Rhode Island,,,,Public,1972.0,,,12400.0,,,,Amica Insurance,Insurance,,Listed in SBJ directory,,2023.0,2032.0,10.0,USD,9000000.0,900000.0,900000.0,1.0,900000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Providence Bruins, Providence Friars",AHL,Minor League,Y,2.0,7100.0,,,52.0,,,,,,,,,,85000.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='10 (2032)', Annual='$900K', Total='$9M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-042,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2028); raw annual=$340K; raw total=$3.4M.,Angel of the Winds Arena,,Arena / Indoor Venue,Minor League,United States,Everett,Washington,,,,Public,2003.0,,,8149.0,,,,Angel of the Winds Casino Resort,Casino/Gambling,,Listed in SBJ directory,,2019.0,2028.0,10.0,USD,3400000.0,340000.0,340000.0,1.0,340000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Everett Silvertips, Tilted Thunder Rail Birds, Washington Wolfpack",WHL (Western Hockey League),Minor League,Y,3.0,,,,,,,,,,,,,,47000.0,,,,,,,,,,,,,,Minor League,,N,"Source page 1. Raw fields: Years='10 (2028)', Annual='$340K', Total='$3.4M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-048,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 1; raw years=10 (2031); raw annual=$225K; raw total=$2.25M.,Atlantic Union Bank Center,,Arena / Indoor Venue,Collegiate,United States,Harrisonburg,Virginia,,,,Public,2020.0,,,8500.0,,,,Atlantic Union Bank,Financial Services,,Listed in SBJ directory,,2022.0,2031.0,10.0,USD,2250000.0,225000.0,225000.0,1.0,225000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,James Madison Dukes,NCAA Division I - Sun Belt,Collegiate,N,1.0,5280.0,,,16.0,,,,,,,,,,19000.0,,,,,,,,,,,,,,Collegiate,,N,"Source page 1. Raw fields: Years='10 (2031)', Annual='$225K', Total='$2.25M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-051,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 2; raw years=12 (2029); raw annual=$4M; raw total=$48M.,Audi Field,,Ballpark / Field,Major League,United States,Washington,District of Columbia,,,,Mixed,2018.0,,,20000.0,,,,Audi,Consumer Electronics,,Listed in SBJ directory,,2018.0,2029.0,12.0,USD,48000000.0,4000000.0,4000000.0,1.0,4000000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"D.C. United , Washington Spirit, DC Power",MLS,Major League,Y,3.0,18061.0,,,17.0,,,,,,,,,,231000.0,,,,,,,,,,,,,,Major League,,N,"Source page 2. Raw fields: Years='12 (2029)', Annual='$4M', Total='$48M'.",,,,,,,,,,,,,,PPP,,,,,0.6129032258064516,19,1.0
