Category,Field Name,Description,Data Type,Unit / Format,Example,Collection Priority,Possible Sources,Notes
Attendance / Events,Concert / Entertainment Days,Annual concert and entertainment event days,Number,Numeric,50,Recommended,League attendance databases; venue annual reports; box-office reports; public authority reports,
Attendance / Events,Other Event Days,Annual other event days,Number,Numeric,30,Optional,League attendance databases; venue annual reports; box-office reports; public authority reports,
Attendance / Events,Utilization Rate,Annual event days divided by 365,Formula,Calculated in Data_Input,Annual Event Days / 365,Calculated,League attendance databases; venue annual reports; box-office reports; public authority reports,Do not overwrite formulas
Attendance / Events,Attendance per Seat,Annual attendance divided by capacity,Formula,Calculated in Data_Input,Annual Venue Attendance / Capacity,Calculated,League attendance databases; venue annual reports; box-office reports; public authority reports,Do not overwrite formulas
Media Exposure,Broadcast / Streaming Viewers Annual,Annual broadcast and streaming viewers,Number,Numeric,100000000,Recommended,Broadcast data providers; league reports; media-monitoring tools; public reports,
Media Exposure,National Broadcast Games / Events,Number of nationally televised/broadcast events,Number,Numeric,25,Recommended,Broadcast data providers; league reports; media-monitoring tools; public reports,
Media Exposure,International Exposure Y/N,Whether international exposure is meaningful,Category,Use dropdown where available,Yes,Optional,Broadcast data providers; league reports; media-monitoring tools; public reports,
Media Exposure,Media Mentions Annual,Annual news/media mentions,Number,Numeric,5000,Optional,Broadcast data providers; league reports; media-monitoring tools; public reports,
Media Exposure,Estimated Media Impressions,Estimated annual media impressions,Number,Numeric,300000000,Recommended,Broadcast data providers; league reports; media-monitoring tools; public reports,
Digital / Search,Social Followers Tenant / Venue,Followers across key tenant/venue accounts,Number,Numeric,2500000,Recommended,Social platforms; Google Trends; SEO tools; platform analytics,
Digital / Search,Annual Social Posts Mentioning Venue,Annual social posts mentioning venue name,Number,Numeric,2000,Optional,Social platforms; Google Trends; SEO tools; platform analytics,
Digital / Search,Social Impressions Annual,Estimated annual social impressions,Number,Numeric,300000000,Recommended,Social platforms; Google Trends; SEO tools; platform analytics,
Digital / Search,Avg Engagement Rate,Average engagement rate for relevant accounts/posts,Percent,Decimal or %,0.035,Optional,Social platforms; Google Trends; SEO tools; platform analytics,
Digital / Search,Google Trends Index Venue,Google Trends index or normalized search-interest score,Number,Numeric,65,Optional,Social platforms; Google Trends; SEO tools; platform analytics,
Digital / Search,Search Volume Venue,Annual or monthly search volume for venue name,Number,Numeric,1000000,Optional,Social platforms; Google Trends; SEO tools; platform analytics,
Mobility / Urban,Mobile Foot Traffic Annual,Estimated annual mobile-location visits around venue,Number,Numeric,2000000,Optional,Mobile-location data providers; city footfall datasets; transport agencies,
Market,City Population,City population,Number,Numeric,1000000,Required,Government statistics; World Bank/OECD; local statistical bureaus; tourism statistics,
Market,Metro Population,Metropolitan population,Number,Numeric,5000000,Recommended,Government statistics; World Bank/OECD; local statistical bureaus; tourism statistics,
Market,Regional GDP / GRP,Regional GDP or gross regional product,Currency,Original currency unless stated,50000000000,Recommended,Government statistics; World Bank/OECD; local statistical bureaus; tourism statistics,
Market,Median Household Income,Median household income,Currency,Original currency unless stated,75000,Recommended,Government statistics; World Bank/OECD; local statistical bureaus; tourism statistics,
Market,Annual Tourists / Visitors City,Annual city visitors or tourists,Number,Numeric,12000000,Optional,Government statistics; World Bank/OECD; local statistical bureaus; tourism statistics,
Market,Number of Large Corporate HQs,Number of large company HQs in market,Number,Numeric,50,Optional,Government statistics; World Bank/OECD; local statistical bureaus; tourism statistics,
Qualitative,Sponsor-Venue Fit Notes,Notes on strategic or brand fit,Text,Text,Sponsor has local headquarters and sports marketing strategy,Recommended,Researcher judgment based on sources,
Benchmarking,Comparable Venue Group,Peer group label for manual benchmarking,Text,Text,Major urban indoor arenas,Optional,Researcher classification,
Qualitative,Special Factors,Any special factor affecting comparability,Text,Text,Opening-year premium; naming deal bundled with team sponsorship,Optional,Researcher judgment based on sources,
Data Quality,Missing Data Flag,Flag rows with important missing data,Formula,Calculated in Data_Input,Completeness check,Calculated,Internal quality review,Do not overwrite formulas
Data Quality,Researcher Comments,Research notes and judgment calls,Text,Text,Value estimated from media report,Optional,Internal quality review,
Regional / Local Classification,Region,Geographic region used for regional comparison and Asia-Pacific expansion.,Category,Use dropdown where available,Asia-Pacific,Required,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Subregion,Geographic subregion for more granular cross-market comparison.,Category,Use dropdown where available,East Asia,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Local Country / Territory Name,"Country or territory name in the local language, when useful for source matching.",Text,Text,日本,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Local Venue Name,Venue name in the original local language.,Text,Text,国立競技場,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,English Venue Name,English translation or commonly used English venue name.,Text,Text,National Stadium,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Original Language Source Title,Title of the original source document or webpage in its original language.,Text,Text,命名権契約に関する公表資料,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Original Language,Language of the main source document used for this row.,Category,Use dropdown where available,Japanese,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Row Source Type,"Specific source category for the row, useful when source type differs from Source_Tracker.",Category,Use dropdown where available,Government announcement,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Data Type / Value Basis,"Whether the value is actual disclosed data, a media estimate, a public offering price, or another basis.",Category,Use dropdown where available,Actual disclosed,Required,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Value Disclosure Status,"How the value is disclosed in the source, including exact amount, range, annual only, total only, or non-disclosed.",Category,Use dropdown where available,Disclosed exact amount,Required,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Rights Type,Type of naming rights asset covered by the deal.,Category,Use dropdown where available,Stadium naming rights,Required,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Naming Scope,"Scope of the naming right, such as full venue, field-only, sub-facility, or bundled rights.",Category,Use dropdown where available,Full venue,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Tax Treatment,"Whether reported values include tax, exclude tax, or have unclear tax treatment.",Category,Use dropdown where available,Including tax,Required,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Public / Private Facility,"Whether the facility is public, private, PPP, club-owned, or otherwise governed.",Category,Use dropdown where available,Public,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Facility Governance / Scheme,Public/private operating framework or governance scheme for the venue.,Category,Use dropdown where available,Municipal facility,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Bundled Assets Flag,Indicates whether the naming-rights amount appears to include other sponsorship or facility assets.,Category,Use dropdown where available,No,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Local Currency Notes,"Notes on local-currency treatment, tax inclusion, translation, or conversion issues.",Text,Text,Amount is reported in JPY including consumption tax.,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
Regional / Local Classification,Regional Data Notes,Research notes specific to regional/local data collection and comparability.,Text,Text,Use when collecting Japan/Korea/Singapore/Malaysia/Middle East or other regional public/media-reported cases.,Recommended,Government announcement; municipal website; club/team release; sponsor release; news article; industry database,Regional/local classification field; not tied to any specific analysis method.
