Target Venue,Relevant design assumptions,Artificial turf; roof over upper seats under consideration; indoor practice facility connected to stadium,Facility features,https://www.sponichi.co.jp/baseball/news/2025/05/23/articles/20250523s00001173071000c.html,"These features can affect event utilization, fan experience, and sponsor exposure."
Valuation Scope,Primary valuation output,Estimated annual naming-rights fee,JPY/year,,To be calculated later using benchmark data and scenario assumptions.
Valuation Scope,Secondary valuation output,Estimated total contract value under selected contract terms,JPY total,,"Example terms may include 5-year, 10-year, 15-year, and 20-year cases."
Valuation Scope,Training / benchmark use,Exclude this row from historical benchmark training data,Important flag,,"The target case contains future assumptions, not an observed contract price."
Recommended Benchmark Groups,Benchmark group,Relevant records,Priority,Rationale,Notes
Recommended Benchmark Groups,Japan / Asia baseball ballparks,"ZOZO Marine Stadium, ES CON Field Hokkaido, Mizuho PayPay Dome Fukuoka, Rakuten Mobile Park Miyagi",Highest,Same country / same or similar professional baseball context,Use official disclosed data separately from media-estimated data.
Recommended Benchmark Groups,Japan large public stadiums and arenas,"National Stadium / MUFG Stadium, GMO Arena Saitama, Ajinomoto Stadium, Nissan Stadium",High,Large Japanese venue naming-rights market context,"Check whether venue is public, private, or bundled."
Recommended Benchmark Groups,North American MLB / major ballparks,SBJ Major League ballparks and comparable baseball venues,High,Mature naming-rights market with many disclosed contracts,Use FX / inflation normalization and market-size adjustment.
Recommended Benchmark Groups,Asian multi-purpose stadiums / sports hubs,OCBC Arena / Singapore Sports Hub and other Asian cases,Medium,Regional Asia context and public-private venue structures,Flag multi-asset bundles separately.
Recommended Benchmark Groups,European football naming-rights valuations,Kroll football club estimates,Reference only,Useful for global sponsor and brand-value context,Do not mix estimated football valuations with disclosed baseball contracts without flags.
Required Data Before Final Estimation,Data item,Why it matters,Status,Preferred source,Notes
Required Data Before Final Estimation,Expected annual attendance,Core exposure and demand variable,To collect,Chiba City plan / Chiba Lotte / historical attendance,Use current ZOZO Marine attendance and future capacity assumptions.
Required Data Before Final Estimation,Expected annual event days,Determines non-baseball utilization and exposure,To collect,City plan / venue operator assumptions,"Separate baseball, concerts, community events, and commercial uses."
Required Data Before Final Estimation,Broadcast / streaming exposure,National media value driver,To collect,"NPB, TV ratings, streaming platforms","Use conservative, base, and upside cases."
Required Data Before Final Estimation,Digital and search indicators,Brand association and sponsor visibility,To collect,"Google Trends, social platforms, team accounts",Track current ZOZO Marine and Chiba Lotte baseline.
Required Data Before Final Estimation,Contract scope,Determines whether value is venue-only or bundled,To define,Future public tender / sponsor agreement,Explicitly separate naming rights from sponsorship package assets.
Required Data Before Final Estimation,Tax treatment,Needed for comparable monetary values,To define,Future contract or tender document,Japanese public data may be tax included or tax excluded.
Required Data Before Final Estimation,Contract length and start year,Affects total contract value and inflation risk,Scenario input,Scenario assumption,Use multiple contract-term scenarios until official information is available.
Future Valuation Output Placeholder,Scenario,Estimated Annual Fee (JPY),Contract Term Years,Estimated Total Value (JPY),Notes
Future Valuation Output Placeholder,Conservative,,,,To be calculated after benchmark selection and normalization.
Future Valuation Output Placeholder,Base,,,,To be calculated after benchmark selection and normalization.
Future Valuation Output Placeholder,Upside,,,,To be calculated after benchmark selection and normalization.
